CC;Caisse;Annee;Sexe;ageconj;
0090;CAVIMAC;2012;Femmes;59;
0090;CAVIMAC;2012;Hommes;59;
0090;CAVIMAC;2013;Ensemble;59;
0090;CAVIMAC;2013;Femmes;59;
0090;CAVIMAC;2013;Hommes;60;
0090;CAVIMAC;2014;Ensemble;64;
0090;CAVIMAC;2014;Femmes;63;
0090;CAVIMAC;2014;Hommes;64;
0090;CAVIMAC;2015;Ensemble;64;
0090;CAVIMAC;2015;Femmes;63;
0090;CAVIMAC;2015;Hommes;64;
0090;CAVIMAC;2016;Ensemble;64;
0090;CAVIMAC;2016;Femmes;64;
0090;CAVIMAC;2016;Hommes;64;
0090;CAVIMAC;2017;Ensemble;64;
0090;CAVIMAC;2017;Femmes;64;
0090;CAVIMAC;2017;Hommes;64;
0090;CAVIMAC;2018;Ensemble;64;
0090;CAVIMAC;2018;Femmes;64;
0090;CAVIMAC;2018;Hommes;65;
0090;CAVIMAC;2019;Ensemble;64;
0090;CAVIMAC;2019;Femmes;64;
0090;CAVIMAC;2019;Hommes;65;
0090;CAVIMAC;2020;Ensemble;65;
0090;CAVIMAC;2020;Femmes;64;
0090;CAVIMAC;2020;Hommes;65;
0010;CNAV;2012;Ensemble;62;
0010;CNAV;2012;Femmes;62;
0010;CNAV;2012;Hommes;62;
0010;CNAV;2013;Ensemble;62;
0010;CNAV;2013;Femmes;62;
0010;CNAV;2013;Hommes;62;
0010;CNAV;2014;Ensemble;62;
0010;CNAV;2014;Femmes;62;
0010;CNAV;2014;Hommes;62;
0010;CNAV;2015;Ensemble;62;
0010;CNAV;2015;Femmes;62;
0010;CNAV;2015;Hommes;62;
0010;CNAV;2016;Ensemble;62;
0010;CNAV;2016;Femmes;63;
0010;CNAV;2016;Hommes;62;
0010;CNAV;2017;Ensemble;62;
0010;CNAV;2017;Femmes;63;
0010;CNAV;2017;Hommes;62;
0010;CNAV;2018;Ensemble;63;
0010;CNAV;2018;Femmes;63;
0010;CNAV;2018;Hommes;62;
0010;CNAV;2019;Ensemble;63;
0010;CNAV;2019;Femmes;63;
0010;CNAV;2019;Hommes;62;
0015;CNAV;2020;Ensemble;63;
0015;CNAV;2020;Femmes;63;
0015;CNAV;2020;Hommes;63;
0015;CNAV;2021;Ensemble;63;
0015;CNAV;2021;Femmes;63;
0015;CNAV;2021;Hommes;63;
0015;CNAV;2022;Femmes;63;
0015;CNAV;2022;Hommes;63;
0015;CNAV;2022;Ensemble;63;
0100;CNIEG;2004;Ensemble;55;
0100;CNIEG;2004;Femmes;55;
0100;CNIEG;2004;Hommes;55;
0100;CNIEG;2005;Ensemble;55;
0100;CNIEG;2005;Femmes;55;
0100;CNIEG;2005;Hommes;55;
0100;CNIEG;2006;Ensemble;56;
0100;CNIEG;2006;Femmes;56;
0100;CNIEG;2006;Hommes;56;
0100;CNIEG;2007;Ensemble;56;
0100;CNIEG;2007;Femmes;56;
0100;CNIEG;2007;Hommes;56;
0100;CNIEG;2008;Ensemble;56;
0100;CNIEG;2008;Femmes;56;
0100;CNIEG;2008;Hommes;56;
0100;CNIEG;2009;Ensemble;56;
0100;CNIEG;2009;Femmes;56;
0100;CNIEG;2009;Hommes;56;
0100;CNIEG;2010;Ensemble;56;
0100;CNIEG;2010;Femmes;56;
0100;CNIEG;2010;Hommes;56;
0100;CNIEG;2011;Ensemble;57;
0100;CNIEG;2011;Femmes;57;
0100;CNIEG;2011;Hommes;57;
0100;CNIEG;2012;Ensemble;57;
0100;CNIEG;2012;Femmes;57;
0100;CNIEG;2012;Hommes;57;
0100;CNIEG;2013;Ensemble;57;
0100;CNIEG;2013;Femmes;57;
0100;CNIEG;2013;Hommes;57;
0100;CNIEG;2014;Ensemble;57;
0100;CNIEG;2014;Femmes;57;
0100;CNIEG;2014;Hommes;57;
0100;CNIEG;2015;Ensemble;57;
0100;CNIEG;2015;Femmes;58;
0100;CNIEG;2015;Hommes;57;
0100;CNIEG;2016;Ensemble;57;
0100;CNIEG;2016;Femmes;57;
0100;CNIEG;2016;Hommes;57;
0100;CNIEG;2017;Ensemble;57;
0100;CNIEG;2017;Femmes;57;
0100;CNIEG;2017;Hommes;57;
0100;CNIEG;2018;Ensemble;58;
0100;CNIEG;2018;Femmes;58;
0100;CNIEG;2018;Hommes;58;
0100;CNIEG;2019;Ensemble;58;
0100;CNIEG;2019;Femmes;58;
0100;CNIEG;2019;Hommes;58;
0100;CNIEG;2020;Ensemble;58;
0100;CNIEG;2020;Femmes;59;
0100;CNIEG;2020;Hommes;58;
0100;CNIEG;2021;Ensemble;59;
0100;CNIEG;2021;Femmes;59;
0100;CNIEG;2021;Hommes;59;
0100;CNIEG;2022;Femmes;59;
0100;CNIEG;2022;Hommes;59;
0100;CNIEG;2022;Ensemble;59;
0032;CNRACL;2009;Ensemble;61;
0032;CNRACL;2009;Femmes;60;
0032;CNRACL;2009;Hommes;62;
0032;CNRACL;2010;Ensemble;61;
